TIME_SERVER,MEAN_HEADING,MEAN_GPS_SOG_KNOTS,ADAPTED_MEAN_HEADING
2022-07-11 22:19:00,73.5833333333333,4.76666666666667,16.45
2022-07-11 22:24:00,345.08,8.32,14.92
2022-07-11 22:29:00,318.96,9.74,41.04
2022-07-11 22:34:00,320.52,11.58,39.48
2022-07-11 22:39:00,290.96,13,69.04
2022-07-11 22:44:00,270.78,13.06,89.22
2022-07-11 22:49:00,270.68,13.16,89.32
2022-07-11 22:54:00,270.7,12.58,89.3
2022-07-11 22:59:00,233.88,12.74,126.12
2022-07-11 23:04:00,211.38,13.56,148.62
2022-07-11 23:09:00,211.98,13.86,148.02
2022-07-11 23:14:00,212.04,13.96,147.96
2022-07-11 23:19:00,211.92,13.94,148.08
2022-07-11 23:24:00,212.04,14.1,147.96
2022-07-11 23:29:00,211.98,13.6,148.02
2022-07-11 23:34:00,212.02,13.46,147.98
2022-07-11 23:39:00,212.04,13.56,147.96
2022-07-11 23:44:00,213.78,13.7,146.22
2022-07-11 23:49:00,215.98,13.9,144.02
2022-07-11 23:54:00,216.22,13.56,143.78
2022-07-11 23:59:00,217.28,13.78,142.72
2022-07-12 00:04:00,217.04,13.98,142.96
2022-07-12 00:09:00,216.98,13.66,143.02
2022-07-12 00:14:00,217,13.6,143
2022-07-12 00:19:00,216.96,13.62,143.04
2022-07-12 00:24:00,217.04,13.36,142.96
2022-07-12 00:29:00,216.72,13.6,143.28
2022-07-12 00:34:00,213.98,13.66,146.02
2022-07-12 00:39:00,217.86,13.56,142.14
2022-07-12 00:44:00,250.54,12.4,109.46
2022-07-12 00:49:00,252.12,12.54,107.88
2022-07-12 00:54:00,247.46,12.84,112.54
2022-07-12 00:59:00,216.12,13.42,143.88
2022-07-12 01:04:00,233.28,13.22,126.72
2022-07-12 01:09:00,252.1,13.42,107.9
2022-07-12 01:14:00,241.82,12.18,118.18
2022-07-12 01:19:00,245.2,12.56,114.8
2022-07-12 01:24:00,245.92,12.08,114.08
2022-07-12 01:29:00,228.42,12.34,131.58
2022-07-12 01:34:00,219.84,13.02,140.16
2022-07-12 01:39:00,219.92,12.44,140.08
2022-07-12 01:44:00,220.18,12.7,139.82
2022-07-12 01:49:00,219.9,12.06,140.1
2022-07-12 01:54:00,220.24,12.18,139.76
2022-07-12 01:59:00,219.86,12.28,140.14
2022-07-12 02:04:00,219.88,12.62,140.12
2022-07-12 02:09:00,220.2,12,139.8
2022-07-12 02:14:00,220,12.42,140
2022-07-12 02:19:00,220.12,12.08,139.88
2022-07-12 02:24:00,219.9,11.84,140.1
2022-07-12 02:29:00,219.98,12.26,140.02
2022-07-12 02:34:00,220.06,12.26,139.94
2022-07-12 02:39:00,219.88,12.42,140.12
2022-07-12 02:44:00,219.96,11.9,140.04
2022-07-12 02:49:00,220.02,12.54,139.98
2022-07-12 02:54:00,219,11.78,141
2022-07-12 02:59:00,218,12.06,142
2022-07-12 03:04:00,218.02,11.86,141.98
2022-07-12 03:09:00,218.04,12.04,141.96
2022-07-12 03:14:00,217.82,11.78,142.18
2022-07-12 03:19:00,217.22,11.28,142.78
2022-07-12 03:24:00,215.92,11.6,144.08
2022-07-12 03:29:00,216.12,12.1,143.88
2022-07-12 03:34:00,216.02,12.08,143.98
2022-07-12 03:39:00,215.9,11.62,144.1
2022-07-12 03:44:00,216.06,12.12,143.94
2022-07-12 03:49:00,215.86,12.36,144.14
2022-07-12 03:54:00,215.96,12.54,144.04
2022-07-12 03:59:00,216.08,12.14,143.92
2022-07-12 04:04:00,215.96,12.42,144.04
2022-07-12 04:09:00,217.54,12.8,142.46
2022-07-12 04:14:00,216.82,12.6,143.18
2022-07-12 04:19:00,213.66,12.7,146.34
2022-07-12 04:24:00,213.92,12.44,146.08
2022-07-12 04:29:00,214.2,12.5,145.8
2022-07-12 04:34:00,213.92,13.08,146.08
2022-07-12 04:39:00,214,12.72,146
2022-07-12 04:44:00,213.86,12.36,146.14
2022-07-12 04:49:00,214.1,12.28,145.9
2022-07-12 04:54:00,213.98,12.6,146.02
2022-07-12 04:59:00,213.88,12.5,146.12
2022-07-12 05:04:00,214.18,12.38,145.82
2022-07-12 05:09:00,213.94,12.54,146.06
2022-07-12 05:14:00,213.84,12.44,146.16
2022-07-12 05:19:00,214.2,12,145.8
2022-07-12 05:24:00,213.96,11.94,146.04
2022-07-12 05:29:00,214.02,11.66,145.98
2022-07-12 05:34:00,214,11.7,146
2022-07-12 05:39:00,214.06,12.2,145.94
2022-07-12 05:44:00,214.06,12.18,145.94
2022-07-12 05:49:00,214.22,12.4,145.78
